id,farmer_id,crop_class,crop_variety,bbk_payment_method,base_price,grade_a_price,grade_b_price,grade_c_price, total_weight ,grade_a_weight,grade_b_weight,grade_c_weight, total_net_weight , net_owed_to_farmer ,grade_a_cash_value,grade_b_cash_value,grade_c_cash_value,bbk_created_at
14330,4434,Soy Bean,Kafue,Paycode,12,15,14,12,2000,2000,0,0,1700,24100,25500,0,0,17/06/2025
17918,4442,Cowpea,Bubebe,Paycode,10,13,12,10,400,400,0,0,335,5693,4355,0,0,27/06/2025
13673,4481,Cowpea,Lutembwe,Paycode,10,13,12,10,300,300,0,0,235,15486,3055,0,0,16/06/2025
3725,4481,Soy Bean,Emerald,Paycode,13,17,15,14,850,850,0,0,650,8164,11050,0,0,15/05/2025
4344,4481,Soy Bean,Kafue,Paycode,13,17,15,14,451,451,0,0,251,12431,4267,0,0,15/05/2025
18949,4485,Soy Bean,Kafue,Paycode,12,15,14,12,375,375,0,0,275,4125,4125,0,0,30/06/2025
21908,4513,Sugar bean,Lungwebungu,Paycode,25,30,27,25, 391.00 ,391,0,0,341," 8,280.00 ",10230,0,0,10/07/2025
3806,4571,Soy Bean,Kafue,Paycode,13,17,15,14,375,335,40,0,265,3575,3825,600,0,15/05/2025
9264,4589,Soy Bean,Emerald,Paycode,13,17,15,14,414,414,0,0,314,6808,5338,0,0,03/06/2025
9263,4589,Soy Bean,Kafue,Paycode,13,17,15,14,278,0,228,50,178,1470,0,1920,700,03/06/2025
14654,4594,Soy Bean,Kafue,Paycode,12,15,14,12,1458,1458,0,0,1258,18220,18870,0,0,18/06/2025
8867,4598,Soy Bean,Kafue,Paycode,13,17,15,14,477,377,100,0,352,5134,4284,1500,0,02/06/2025
14655,4602,Soy Bean,Kafue,Paycode,12,15,14,12,689,689,0,0,589,8185,8835,0,0,18/06/2025
14281,4627,Soy Bean,Kafue,Paycode,12,15,14,12,250,150,100,0,190,31280,1350,1400,0,17/06/2025
14278,4627,Soy Bean,Emerald,Paycode,12,15,14,12,2592,2592,0,0,2092,30480,31380,0,0,17/06/2025
14103,4639,Soy Bean,Kafue,Paycode,12,15,14,12,1323,150,1173,0,1113,14449,0,15582,0,17/06/2025
6371,4727,Soy Bean,Kafue,Paycode,13,17,15,14,688,688,0,0,588,9996,9996,0,0,24/05/2025
13644,4740,Soy Bean,Kafue,Paycode,12,15,14,12,90,90,0,0,0,0,0,0,0,16/06/2025
4271,4744,Soy Bean,Kafue,Paycode,13,17,15,14,2150,2050,100,0,1840,29680,29580,1500,0,16/05/2025
4073,4770,Soy Bean,Kafue,Paycode,13,17,15,14,3087,3087,0,0,2677,43109,45509,0,0,16/05/2025
26014,4786,Soy Bean,Emerald,Paycode,12,15,14,12,838,838,0,0,738,9797,11070,0,0,19/09/2025
26013,4786,Soy Bean,Kafue,Paycode,12,15,14,12,481,356,125,0,281,1127,2340,1750,0,19/09/2025
11888,4859,Soy Bean,Kafue,Paycode,13,17,15,14,1050,750,300,0,950,13550,11050,4500,0,11/06/2025
2355,4863,Soy Bean,Kafue,Paycode,13,17,15,14,618,489,129,0,418,29598,4913,1935,0,09/05/2025
9745,4863,Soy Bean,Emerald,Paycode,13,17,15,14,750,0,750,0,750,11250,0,11250,0,04/06/2025
2354,4863,Soy Bean,Emerald,Paycode,13,17,15,14,1600,1500,100,0,1500,23750,23800,1500,0,09/05/2025
17787,4867,Soy Bean,Kafue,Paycode,12,15,14,12,1800,1700,100,0,1390,18550,19350,1400,0,27/06/2025
6240,4888,Soy Bean,Kafue,Paycode,13,17,15,14,550,300,250,0,250,2850,0,3750,0,23/05/2025
17715,4909,Navy Bean,Lwangeni,Paycode,21,23,21,21, 271.00 ,271,0,0,221," 2,113.00 ",5083,0,0,26/06/2025
22894,4913,Sugar bean,Lungwebungu,Paycode,22,25,22,22, 325.00 ,325,0,0,325," 11,050.00 ",8125,0,0,13/07/2025
9258,4948,Soy Bean,Kafue,Paycode,13,17,15,14,1150,1150,0,0,940,13780,15980,0,0,03/06/2025
1027,4988,Soy Bean,Kafue,Paycode,13,17,15,14,1200,1200,0,0,1000,15100,17000,0,0,01/05/2025
21683,5000,Soy Bean,Kafue,Paycode,12,15,14,12,1200,1200,0,0,800,11998,12000,0,0,09/07/2025
21947,5012,Sugar bean,Lungwebungu,Paycode,25,30,27,25, 750.00 ,750,0,0,550," 16,500.00 ",16500,0,0,10/07/2025
21945,5017,Sugar bean,Lungwebungu,Paycode,25,30,27,25, 100.00 ,100,0,0,0, -   ,0,0,0,10/07/2025
24371,5175,Sugar bean,Lungwebungu,Paycode,25,30,27,25," 1,693.00 ",1693,0,0,1263," 37,890.00 ",37890,0,0,21/07/2025
24018,5194,Navy Bean,Lwangeni,Paycode,23,27,25,23, 700.00 ,700,0,0,700," 18,900.00 ",18900,0,0,19/07/2025
23982,5194,Sugar bean,Lungwebungu,Paycode,25,30,27,25," 3,474.00 ",3474,0,0,3474," 98,770.00 ",104220,0,0,18/07/2025
17648,5271,Sugar bean,Lungwebungu,Paycode,25,30,27,25," 1,000.00 ",1000,0,0,900," 23,100.00 ",27000,0,0,26/06/2025
17650,5279,Sugar bean,Lungwebungu,Paycode,25,30,27,25, 550.00 ,550,0,0,450," 10,575.00 ",13500,0,0,26/06/2025
4206,5310,Cowpea,Lutembwe,Paycode,10,13,12,10,188,0,67,121,58,3427,0,0,580,15/05/2025
21942,5323,Sugar bean,Lungwebungu,Paycode,25,30,27,25, 200.00 ,200,0,0,0, -   ,0,0,0,10/07/2025
9715,5336,Sunflower,Sunflower,Paycode,6,6,6,6,56,56,0,0,1,16884,6,0,0,04/06/2025
6791,5423,Soy Bean,Emerald,Paycode,13,17,15,14,345,345,0,0,245,10381,4165,0,0,26/05/2025
4397,5438,Soy Bean,Kafue,Paycode,13,17,15,14,400,350,50,0,300,4500,4250,750,0,17/05/2025
13953,5491,Sugar bean,Lungwebungu,Paycode,22,25,22,22, 200.00 ,200,0,0,100," 2,500.00 ",2500,0,0,16/06/2025
20461,5495,Navy Bean,Lwangeni,Paycode,21,23,21,21, 155.00 ,155,0,0,80, 300.00 ,1840,0,0,04/07/2025
13261,5508,Navy Bean,Lwangeni,Paycode,21,23,21,21, 650.00 ,650,0,0,525," 13,575.00 ",12075,0,0,14/06/2025
13260,5508,Sugar bean,Lungwebungu,Paycode,22,25,22,22, 350.00 ,350,0,0,230," 5,450.00 ",5750,0,0,14/06/2025
13262,5508,Sugar bean,Lungwebungu,Paycode,22,25,22,22, 250.00 ,250,0,0,250," 6,250.00 ",6250,0,0,14/06/2025
18213,5512,Navy Bean,Lwangeni,Paycode,21,23,21,21, 133.00 ,0,0,133,83," 1,743.00 ",0,0,1743,28/06/2025
12249,5524,Sugar bean,Lungwebungu,Paycode,22,25,22,22, 426.00 ,426,0,0,326," 5,630.00 ",8150,0,0,12/06/2025
3430,5607,Soy Bean,Kafue,Paycode,13,17,15,14,359,0,359,0,259,2885,0,3885,0,13/05/2025
17349,5631,Sugar bean,Lungwebungu,Paycode,22,25,22,22, 453.00 ,453,0,0,453," 9,585.00 ",11325,0,0,26/06/2025
17399,5647,Navy Bean,Lwangeni,Paycode,21,23,21,21, 488.00 ,438,50,0,413," 6,424.00 ",8349,1050,0,26/06/2025
3252,5666,Soy Bean,Kafue,Paycode,13,17,15,14,600,600,0,0,300,3550,5100,0,0,13/05/2025
13360,2504,Soy Bean,Emerald,Paycode,12,15,14,12,550,550,0,0,350,4750,5250,0,0,14/06/2025
11805,2556,Soy Bean,Kafue,Paycode,13,17,15,14,2077,1827,150,100,1547,19969,22049,2250,1400,11/06/2025
13821,2579,Soy Bean,Kafue,Paycode,12,15,14,12,1650,1650,0,0,1540,21350,23100,0,0,16/06/2025
9379,2587,Soy Bean,Kafue,Paycode,13,17,15,14,900,300,600,0,700,9150,1700,9000,0,03/06/2025
15931,2631,Navy Bean,Lwangeni,Paycode,21,23,21,21, 262.00 ,262,0,0,37, 11.00 ,851,0,0,23/06/2025
14769,2639,Navy Bean,Lwangeni,Paycode,21,23,21,21, 175.00 ,175,0,0,175," 4,025.00 ",4025,0,0,18/06/2025
14768,2639,Sugar bean,Lungwebungu,Paycode,22,25,22,22, 409.00 ,409,0,0,339," 8,175.00 ",8475,0,0,18/06/2025
17121,2647,Navy Bean,Lwangeni,Paycode,21,23,21,21, 240.00 ,240,0,0,190," 3,370.00 ",4370,0,0,26/06/2025
25377,2698,Navy Bean,Lwangeni,Paycode,21,23,21,21, 100.00 ,0,100,0,100," 2,100.00 ",0,2100,0,30/07/2025
17668,2698,Navy Bean,Lwangeni,Paycode,21,23,21,21, 600.00 ,350,250,0,600," 12,300.00 ",8050,5250,0,27/06/2025
17667,2698,Sugar bean,Lungwebungu,Paycode,22,25,22,22, 150.00 ,150,0,0,100, 450.00 ,2500,0,0,27/06/2025
21085,2702,Sugar bean,Lungwebungu,Paycode,22,25,22,22, 900.00 ,900,0,0,700," 14,275.00 ",17500,0,0,07/07/2025
19312,2711,Navy Bean,Lwangeni,Paycode,21,23,21,21, 450.00 ,450,0,0,400," 7,250.00 ",9200,0,0,01/07/2025
21597,2715,Navy Bean,Lwangeni,Paycode,21,23,21,21," 1,958.00 ",1958,0,0,1858," 39,629.00 ",42734,0,0,09/07/2025
22862,2741,Navy Bean,Lwangeni,Paycode,21,23,21,21, 600.00 ,200,250,150,550," 11,850.00 ",3450,5250,3150,13/07/2025
19786,2746,Navy Bean,Lwangeni,Paycode,21,23,21,21, 800.00 ,650,150,0,700," 12,800.00 ",12650,3150,0,03/07/2025
15924,2799,Sugar bean,Lungwebungu,Paycode,22,25,22,22, 107.00 ,107,0,0,57," 1,425.00 ",1425,0,0,23/06/2025
12315,2803,Soy Bean,Kafue,Paycode,12,15,14,12,1100,1100,0,0,800,3850,12000,0,0,12/06/2025
10316,2807,Soy Bean,Kafue,Paycode,13,17,15,14,600,600,0,0,470,5440,7990,0,0,06/06/2025
10317,2807,Cowpea,Lutembwe,Paycode,10,13,12,10,159,0,159,0,159,1908,0,1908,0,06/06/2025
16228,2811,Soy Bean,Kafue,Paycode,12,15,14,12,291,0,291,0,161,16474,0,2254,0,24/06/2025
16227,2811,Soy Bean,Emerald,Paycode,12,15,14,12,1048,1048,0,0,948,14220,14220,0,0,24/06/2025
5297,2822,Soy Bean,Kafue,Paycode,13,17,15,14,125,125,0,0,0,0,0,0,0,21/05/2025
5299,2822,Soy Bean,Kafue,Paycode,13,17,15,14,37,37,0,0,37,129,629,0,0,21/05/2025
10128,2831,Soy Bean,Kafue,Paycode,13,17,15,14,849,849,0,0,539,8263,9163,0,0,05/06/2025
3800,2847,Soy Bean,Kafue,Paycode,13,17,15,14,1250,450,800,0,1040,15180,4080,12000,0,15/05/2025
24734,2881,Navy Bean,Lwangeni,Paycode,21,23,21,21, 250.00 ,250,0,0,200," 4,600.00 ",4600,0,0,23/07/2025
18818,2881,Navy Bean,Lwangeni,Paycode,21,23,21,21, 50.00 ,50,0,0,0, -   ,0,0,0,30/06/2025
14222,2889,Cowpea,Lutembwe,Paycode,10,13,12,10,88,0,0,88,23,14905,0,0,230,17/06/2025
12262,2889,Soy Bean,Kafue,Paycode,13,17,15,14,1000,900,100,0,875,14675,13175,1500,0,12/06/2025
14107,2897,Soy Bean,Emerald,Paycode,12,15,14,12,1050,0,1050,0,850,13700,0,11900,0,17/06/2025
19011,2913,Soy Bean,Kafue,Paycode,12,15,14,12,160,160,0,0,40,600,600,0,0,30/06/2025
23358,2930,Soy Bean,Kafue,Paycode,12,15,14,12,600,600,0,0,500,7500,7500,0,0,15/07/2025
14397,2942,Soy Bean,Kafue,Paycode,12,15,14,12,1858,1858,0,0,1458,18970,21870,0,0,18/06/2025
25252,2951,Soy Bean,Kafue,Paycode,12,15,14,12,1138,1138,0,0,838,8346,12570,0,0,29/07/2025
21071,2983,Navy Bean,Lwangeni,Paycode,21,23,21,21, 400.00 ,400,0,0,275," 4,075.00 ",6325,0,0,06/07/2025
15941,3014,Soy Bean,Kafue,Paycode,12,15,14,12,1487,1005,282,200,1187,22683,10575,3948,2400,23/06/2025
15939,3014,Soy Bean,Emerald,Paycode,12,15,14,12,1050,1050,0,0,950,8200,14250,0,0,23/06/2025
7036,3090,Soy Bean,Kafue,Paycode,13,17,15,14,900,900,0,0,650,3550,11050,0,0,27/05/2025
12952,3106,Soy Bean,Emerald,Paycode,12,15,14,12,505,505,0,0,205,-4225,3075,0,0,13/06/2025
17337,3114,Soy Bean,Emerald,Paycode,12,15,14,12,661,661,0,0,561,15870,8415,0,0,26/06/2025
17336,3114,Soy Bean,Kafue,Paycode,12,15,14,12,707,707,0,0,607,7455,9105,0,0,26/06/2025
17302,3218,Cowpea,Lutembwe,Paycode,10,13,12,10,200,200,0,0,135,14285,1755,0,0,26/06/2025
11503,3222,Soy Bean,Kafue,Paycode,13,17,15,14,522,322,200,0,197,2605,0,2955,0,10/06/2025
11400,3243,Soy Bean,Kafue,Paycode,13,17,15,14,800,800,0,0,690,11730,11730,0,0,10/06/2025
15498,3251,Soy Bean,Kafue,Paycode,12,15,14,12,650,650,0,0,650,9750,9750,0,0,21/06/2025
5657,3251,Soy Bean,Kafue,Paycode,13,17,15,14,800,800,0,0,700,11900,11900,0,0,22/05/2025
